project,rBug@1,rrBug@1,tBug@1,rBug@3,rrBug@3,tBug@3,rBug@5,rrBug@5,tBug@5,rBug@10,rrBug@10,tBug@10,rBug@20,rrBug@20,tBug@20,rFirstHit,rrFirstHit,tFirstHit
performance-369-297-bug德升4567V1.4.7测试_1470654363+76.csv,0,0,0,0,0,0,0,0,0,0.25,0.166666667,0,0.333333333,0.25,0,7,8,24
performance-370-98-bug匠多宝V1.0测试_1470654362+4.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,39
performance-371-172-bug口袋锦囊V3.0.1测试_1470654362+4.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,45,58
performance-372-39-bug小飞侠V1.0测试_1470654361+4.csv,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,7,8,11
performance-373-44-bug直播Live_1470654358+4.csv,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,13,17
performance-374-98-bug中融宝V3.3.0测试_1470654361+4.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,28
performance-375-99-bug鸿运智软_1470654357+4.csv,0,0,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0,0.5,0.5,0,2,2,27
performance-376-107-bug游侠客_1470654359+4.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,38
performance-377-132-bug世纪开元V1.0测试_1470654361+4.csv,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,1,0.5,0,3,14,38
performance-378-41-bug360免费WiFiV3.8.5测试_1470654356+4.csv,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,11,11
performance-379-79-bug猫王联盟V3.0.0603测试_1470654355+4.csv,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,13
performance-38-61-百度浏览器 内核T5V6测试_1463737415+25.csv,0,0,0,0.666666667,0.666666667,0,1,1,0.333333333,1,1,0.333333333,1,1,1,2,2,4
performance-38-61-百度浏览器 内核T5V6测试_1463737415+34.csv,0,0,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,2,2,4
performance-380-93-bug麦子学院V4.0.0.13测试_1470654356+4.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,18,35
performance-381-94-bug爱海购V1.4测试_1470654356+4.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,25
performance-382-101-bug出游宝V0.9.2测试_1470654358+4.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,49
performance-383-112-bug行知宝V1.6.6测试_1470654355+4.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,34
performance-384-118-bugQQ日本版V3.0测试_1470654358+4.csv,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16,16,36
performance-385-119-bug琥珀V1.0.0测试_1470654356+4.csv,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,17,16,29
performance-386-130-bugwifi369V1.0测试_1470654357+4.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,47
performance-387-135-bug代盐V1.0.5测试_1470654354+4.csv,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,1,0,7,8,38
performance-389-141-bug好善乐购V2.1.0测试_1470654354+4.csv,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,12,15,27
